llm_model,feature,mean_abs_shap
deepseek3.2,ttr,1.1269285678863525
deepseek3.2,mean_word_len,1.8291122913360596
deepseek3.2,mean_sentence_len_tokens,0.7372804880142212
deepseek3.2,yules_k,0.7693390250205994
deepseek3.2,clause_density,0.19388258457183838
deepseek3.2,noun_ratio,0.4918014407157898
deepseek3.2,verb_ratio,0.19081073999404907
deepseek3.2,mean_parse_depth,0.22909869253635406
deepseek3.2,imperative_count,0.17176073789596558
deepseek3.2,first_person_ratio,0.2894373834133148
deepseek3.2,second_person_ratio,0.42714038491249084
deepseek3.2,politeness_density,1.4979897737503052
deepseek3.2,urgency_density,0.277779221534729
deepseek3.2,url_density,0.2252391278743744
deepseek3.2,cta_density,1.4704029560089111
deepseek3.2,authority_density,0.7731555104255676
deepseek3.2,time_pressure_density,1.5828338861465454
gpt-4.1,ttr,1.088565707206726
gpt-4.1,mean_word_len,1.7585517168045044
gpt-4.1,mean_sentence_len_tokens,0.776463508605957
gpt-4.1,yules_k,0.7987170219421387
gpt-4.1,clause_density,0.0205302182585001
gpt-4.1,noun_ratio,0.3951900005340576
gpt-4.1,verb_ratio,0.4241414964199066
gpt-4.1,mean_parse_depth,0.052784696221351624
gpt-4.1,imperative_count,0.1581459790468216
gpt-4.1,first_person_ratio,0.33416131138801575
gpt-4.1,second_person_ratio,0.5450709462165833
gpt-4.1,politeness_density,2.3587591648101807
gpt-4.1,urgency_density,0.14721481502056122
gpt-4.1,url_density,0.526611864566803
gpt-4.1,cta_density,1.3517402410507202
gpt-4.1,authority_density,0.5372032523155212
gpt-4.1,time_pressure_density,1.2054558992385864
llama-3.3-70b,ttr,1.7484862804412842
llama-3.3-70b,mean_word_len,0.622561514377594
llama-3.3-70b,mean_sentence_len_tokens,0.8420668244361877
llama-3.3-70b,yules_k,0.6936682462692261
llama-3.3-70b,clause_density,0.5651251673698425
llama-3.3-70b,noun_ratio,0.6583025455474854
llama-3.3-70b,verb_ratio,1.175108551979065
llama-3.3-70b,mean_parse_depth,0.3688357472419739
llama-3.3-70b,imperative_count,0.4361545443534851
llama-3.3-70b,first_person_ratio,0.8296863436698914
llama-3.3-70b,second_person_ratio,0.17415733635425568
llama-3.3-70b,politeness_density,1.979056715965271
llama-3.3-70b,urgency_density,0.2663266062736511
llama-3.3-70b,url_density,0.7723883986473083
llama-3.3-70b,cta_density,0.49322861433029175
llama-3.3-70b,authority_density,0.30609920620918274
llama-3.3-70b,time_pressure_density,0.35134124755859375
